company,ds,sales
ALPHA,2019-06-21,490.08272431112164
ALPHA,2019-06-22,439.780399748175
ALPHA,2019-06-23,438.16442746231735
ALPHA,2019-06-24,443.7702617623935
ALPHA,2019-06-25,419.0308570054749
ALPHA,2019-06-26,371.2442716384607
ALPHA,2019-06-27,406.43346047071645
ALPHA,2019-06-28,466.3569948644418
ALPHA,2019-06-29,410.86141972088564
ALPHA,2019-06-30,404.6818454800417
ALPHA,2019-07-01,406.35761998661724
ALPHA,2019-07-02,378.3099160183802
ALPHA,2019-07-03,327.8116894427443
ALPHA,2019-07-04,360.8501656139067
ALPHA,2019-07-05,419.1404826204375
ALPHA,2019-07-06,362.4810833884182
ALPHA,2019-07-07,355.55733615586024
ALPHA,2019-07-08,356.860111664032
ALPHA,2019-07-09,328.766042471033
ALPHA,2019-07-10,278.5098187817391
ALPHA,2019-07-11,312.04859102749003
ALPHA,2019-07-12,371.07703654858597
ALPHA,2019-07-13,315.3836296372538
ALPHA,2019-07-14,309.65456200428304
ALPHA,2019-07-15,312.39203096701624
ALPHA,2019-07-16,285.9936315202102
ALPHA,2019-07-17,237.7232389369773
ALPHA,2019-07-18,273.57350484964394
ALPHA,2019-07-19,335.27859563962096
ALPHA,2019-07-20,282.6678002907861
ALPHA,2019-07-21,280.4665561997174
ALPHA,2019-07-22,287.21172183962244
ALPHA,2019-07-23,265.3279504973908
ALPHA,2019-07-24,222.09567227752345
ALPHA,2019-07-25,263.5109262820415
ALPHA,2019-07-26,331.29578509460924
ALPHA,2019-07-27,285.2501024319317
ALPHA,2019-07-28,290.0512229174421
ALPHA,2019-07-29,304.16855679999475
ALPHA,2019-07-30,289.9399284586782
ALPHA,2019-07-31,254.54023899561395
ALPHA,2019-08-01,303.84269489522876
ALPHA,2019-08-02,379.43133108464264
ALPHA,2019-08-03,340.955521542192
ALPHA,2019-08-04,352.9330554582881
ALPHA,2019-08-05,373.66859904034607
ALPHA,2019-08-06,365.33434943803263
ALPHA,2019-08-07,334.94330191476956
ALPHA,2019-08-08,388.21524963443363
ALPHA,2019-08-09,466.5941022294143
ALPHA,2019-08-10,429.60706878817166
ALPHA,2019-08-11,441.6721349009167
ALPHA,2019-08-12,461.0205091927348
ALPHA,2019-08-13,449.78070941302997
ALPHA,2019-08-14,414.9545854203065
ALPHA,2019-08-15,462.2852913222237
ALPHA,2019-08-16,533.275706142602
ALPHA,2019-08-17,487.54778523598884
ALPHA,2019-08-18,489.6492344842725
ALPHA,2019-08-19,497.9741725964433
ALPHA,2019-08-20,474.8444698758682
ALPHA,2019-08-21,427.48210754810276
ALPHA,2019-08-22,461.87264436089924
ALPHA,2019-08-23,519.7783903466395
ALPHA,2019-08-24,461.09189417413927
ALPHA,2019-08-25,450.6362808495404
ALPHA,2019-08-26,447.07926656428515
ALPHA,2019-08-27,413.00771292554714
ALPHA,2019-08-28,355.89324616661304
ALPHA,2019-08-29,381.9492121188645
ALPHA,2019-08-30,433.1377482688709
ALPHA,2019-08-31,369.51775289929753
ALPHA,2019-09-01,356.04044873798483
ALPHA,2019-09-02,351.45951090981686
ALPHA,2019-09-03,318.4027424355348
ALPHA,2019-09-04,264.33591816678904
ALPHA,2019-09-05,295.41913444526006
ALPHA,2019-09-06,353.5144812685902
ALPHA,2019-09-07,298.5358199480749
ALPHA,2019-09-08,295.2473336927249
ALPHA,2019-09-09,302.1777583567676
ALPHA,2019-09-10,281.6971828188937
ALPHA,2019-09-11,240.98691712373065
ALPHA,2019-09-12,285.90261701659466
ALPHA,2019-09-13,357.9893109273433
ALPHA,2019-09-14,316.838924107541
ALPHA,2019-09-15,326.8967665334775
ALPHA,2019-09-16,346.3836838914958
ALPHA,2019-09-17,337.38055176239146
ALPHA,2019-09-18,306.8054061167037
ALPHA,2019-09-19,360.2832037447776
ALPHA,2019-09-20,439.16667914170915
ALPHA,2019-09-21,402.8987335239838
ALPHA,2019-09-22,415.8226886024775
ALPHA,2019-09-23,436.10699932045327
ALPHA,2019-09-24,425.8310325087659
ALPHA,2019-09-25,391.96216554748275
ALPHA,2019-09-26,440.22419503098274
ALPHA,2019-09-27,512.1155539932527
ALPHA,2019-09-28,467.26784036855514
ALPHA,2019-09-29,470.25108956947616
ALPHA,2019-09-30,479.49251628560796
ALPHA,2019-10-01,457.3554905063288
ALPHA,2019-10-02,411.10918280199184
ALPHA,2019-10-03,446.78906780198463
ALPHA,2019-10-04,506.2069959355722
ALPHA,2019-10-05,449.30155440915826
ALPHA,2019-10-06,440.9353693921582
ALPHA,2019-10-07,439.8062883788876
ALPHA,2019-10-08,408.5194104684843
ALPHA,2019-10-09,354.55058562142875
ALPHA,2019-10-10,384.1017359981655
ALPHA,2019-10-11,439.1068472251014
ALPHA,2019-10-12,379.5794581416292
ALPHA,2019-10-13,370.4083754102791
ALPHA,2019-10-14,370.26859115681714
ALPHA,2019-10-15,341.69437429161536
ALPHA,2019-10-16,292.0451231427322
ALPHA,2019-10-17,327.36426368916597
ALPHA,2019-10-18,389.3899389773866
ALPHA,2019-10-19,337.9081854424547
ALPHA,2019-10-20,337.5551628317455
ALPHA,2019-10-21,346.7352338407839
ALPHA,2019-10-22,327.7016647669922
ALPHA,2019-10-23,287.5303237463867
ALPHA,2019-10-24,331.98644396482973
ALPHA,2019-10-25,402.54298074253387
ALPHA,2019-10-26,358.7410477540446
ALPHA,2019-10-27,364.99880070806216
ALPHA,2019-10-28,379.53538377036386
ALPHA,2019-10-29,364.4565517666391
ALPHA,2019-10-30,326.73221333755527
ALPHA,2019-10-31,372.0658615173432
ALPHA,2019-11-01,441.9143528743626
ALPHA,2019-11-02,395.8484876762421
ALPHA,2019-11-03,398.36076232149384
ALPHA,2019-11-04,407.78694775985815
ALPHA,2019-11-05,386.3881796643902
ALPHA,2019-11-06,341.3239103710542
ALPHA,2019-11-07,378.51582293564155
ALPHA,2019-11-08,439.6613274924392
ALPHA,2019-11-09,384.58727199519274
ALPHA,2019-11-10,378.05043366151017
ALPHA,2019-11-11,378.6516498070657
ALPHA,2019-11-12,348.91048289090725
ALPHA,2019-11-13,296.2309770384005
ALPHA,2019-11-14,326.75880601009356
ALPHA,2019-11-15,382.38861921918317
ALPHA,2019-11-16,323.11238590742494
ALPHA,2019-11-17,313.81544882076764
ALPHA,2019-11-18,313.1872641106196
ALPHA,2019-11-19,283.7938101828999
ALPHA,2019-11-20,233.0422782060569
ALPHA,2019-11-21,267.0383658787074
ALPHA,2019-11-22,327.59496846321963
ALPHA,2019-11-23,274.5830209569526
ALPHA,2019-11-24,272.73112436919456
ALPHA,2019-11-25,280.54082476682095
ALPHA,2019-11-26,260.3643933028132
ALPHA,2019-11-27,219.37556298777452
ALPHA,2019-11-28,263.4333690084995
ALPHA,2019-11-29,334.09769905350595
ALPHA,2019-11-30,290.98711262553354
ALPHA,2019-12-01,298.5853656732885
ALPHA,2019-12-02,315.163316423032
ALPHA,2019-12-03,302.86287714899504
ALPHA,2019-12-04,268.67329863056165
ALPHA,2019-12-05,318.29978424526877
ALPHA,2019-12-06,393.1829135808435
ALPHA,2019-12-07,352.85933466475774
ALPHA,2019-12-08,361.7700905907074
ALPHA,2019-12-09,378.18321695503164
ALPHA,2019-12-10,364.2772673287465
ALPHA,2019-12-11,327.1160778762254
ALPHA,2019-12-12,372.5148233287034
ALPHA,2019-12-13,442.0559284819141
ALPHA,2019-12-14,395.4454049320462
ALPHA,2019-12-15,397.3161123486347
ALPHA,2019-12-16,406.1447330521034
ALPHA,2019-12-17,384.3292837358571
ALPHA,2019-12-18,339.1576513636228
ALPHA,2019-12-19,376.6673855008623
ALPHA,2019-12-20,438.65549016749515
ALPHA,2019-12-21,385.02895754953124
ALPHA,2019-12-22,380.6027042314163
ALPHA,2019-12-23,384.01184427007604
ALPHA,2019-12-24,357.7852485950965
ALPHA,2019-12-25,309.3109800789168
ALPHA,2019-12-26,344.6939127569321
ALPHA,2019-12-27,405.7643264878225
ALPHA,2019-12-28,352.4282384573629
ALPHA,2019-12-29,349.4661218981419
ALPHA,2019-12-30,355.4469073117815
ALPHA,2019-12-31,332.804149401015
ALPHA,2020-01-01,288.80485777832297
ALPHA,2020-01-02,329.4111866611971
ALPHA,2020-01-03,396.29364318608845
ALPHA,2020-01-04,349.1864298237513
ALPHA,2020-01-05,352.69141560477755
ALPHA,2020-01-06,365.19747079530765
ALPHA,2020-01-07,348.961887465064
ALPHA,2020-01-08,311.08422796724784
ALPHA,2020-01-09,357.37264985230325
ALPHA,2020-01-10,429.3612338230373
ALPHA,2020-01-11,386.66881476069756
ALPHA,2020-01-12,393.8057159093453
ALPHA,2020-01-13,409.0950497613298
ALPHA,2020-01-14,394.75526239842554
ALPHA,2020-01-15,357.87424417420194
ALPHA,2020-01-16,404.2750629836163
ALPHA,2020-01-17,475.5318808097552
ALPHA,2020-01-18,431.3266126971033
ALPHA,2020-01-19,436.25281034697855
ALPHA,2020-01-20,448.7335362111376
ALPHA,2020-01-21,431.10002405077546
ALPHA,2020-01-22,390.56158108407953
ALPHA,2020-01-23,433.06692900800783
ALPHA,2020-01-24,500.31568995623775
ALPHA,2020-01-25,452.11072166830917
ALPHA,2020-01-26,453.157924393753
ALPHA,2020-01-27,461.9804165736992
ALPHA,2020-01-28,440.99399319175484
ALPHA,2020-01-29,397.47442296649734
ALPHA,2020-01-30,437.4168627352151
ALPHA,2020-01-31,502.54615370799377
ALPHA,2020-02-01,452.6687382613602
ALPHA,2020-02-02,452.47282897028913
ALPHA,2020-02-03,460.4437106546767
ALPHA,2020-02-04,438.94104819867937
ALPHA,2020-02-05,395.16869166498157
ALPHA,2020-02-06,435.037170966683
ALPHA,2020-02-07,500.1775400030349
ALPHA,2020-02-08,450.297188785853
ALPHA,2020-02-09,449.9841235794465
ALPHA,2020-02-10,457.62645675049225
ALPHA,2020-02-11,435.4938370483221
ALPHA,2020-02-12,390.7111713098952
ALPHA,2020-02-13,429.12469532362115
ALPHA,2020-02-14,492.31892948202056
ALPHA,2020-02-15,439.97502774182556
ALPHA,2020-02-16,436.6769276728978
ALPHA,2020-02-17,440.83197185634356
ALPHA,2020-02-18,414.752683066852
ALPHA,2020-02-19,365.63002076512475
ALPHA,2020-02-20,399.39817887704385
ALPHA,2020-02-21,457.7494885544115
ALPHA,2020-02-22,400.48998762184345
ALPHA,2020-02-23,392.3421413388268
ALPHA,2020-02-24,391.8614830386327
ALPHA,2020-02-25,361.5139739482467
ALPHA,2020-02-26,308.64454170592467
ALPHA,2020-02-27,339.33700069805866
ALPHA,2020-02-28,395.4240679140886
ALPHA,2020-02-29,336.8381883185382
ALPHA,2020-03-01,328.40980432881486
ALPHA,2020-03-02,328.7799809458534
ALPHA,2020-03-03,300.47431745402304
ALPHA,2020-03-04,250.86872130993495
ALPHA,2020-03-05,286.0473442715642
ALPHA,2020-03-06,347.81146910029867
ALPHA,2020-03-07,296.0301106986098
ALPHA,2020-03-08,295.4389896246795
ALPHA,2020-03-09,304.55478540941317
ALPHA,2020-03-10,285.7515688519074
ALPHA,2020-03-11,246.2299302346461
ALPHA,2020-03-12,291.8790193802829
ALPHA,2020-03-13,364.290178564201
ALPHA,2020-03-14,323.11280459448994
ALPHA,2020-03-15,332.8589538081213
ALPHA,2020-03-16,351.8234406730633
ALPHA,2020-03-17,342.16616440081975
ALPHA,2020-03-18,310.88701246526904
ALPHA,2020-03-19,363.69339053804083
ALPHA,2020-03-20,442.01889995306334
ALPHA,2020-03-21,405.3836503502862
ALPHA,2020-03-22,418.2025882392685
ALPHA,2020-03-23,438.7084788265405
ALPHA,2020-03-24,429.0361852547993
ALPHA,2020-03-25,396.19852978104115
ALPHA,2020-03-26,445.9537499693163
ALPHA,2020-03-27,519.8230637619232
ALPHA,2020-03-28,477.44885341526185
ALPHA,2020-03-29,483.39990052064184
ALPHA,2020-03-30,496.09038876900934
ALPHA,2020-03-31,477.8594236546212
ALPHA,2020-04-01,435.9414815481223
ALPHA,2020-04-02,476.3279484444364
ALPHA,2020-04-03,540.7784246725205
ALPHA,2020-04-04,489.1724786268277
ALPHA,2020-04-05,486.30846053280834
ALPHA,2020-04-06,490.8162723733426
ALPHA,2020-04-07,465.2310181588434
ALPHA,2020-04-08,416.9581125068529
ALPHA,2020-04-09,452.1301591369189
ALPHA,2020-04-10,512.6144082952593
ALPHA,2020-04-11,458.361586471559
ALPHA,2020-04-12,454.20279409772735
ALPHA,2020-04-13,458.7614239240879
ALPHA,2020-04-14,434.527051033366
ALPHA,2020-04-15,388.8218686107572
ALPHA,2020-04-16,427.659946641745
ALPHA,2020-04-17,492.7580584497932
ALPHA,2020-04-18,443.8887764117276
ALPHA,2020-04-19,445.6824151844816
ALPHA,2020-04-20,456.54463569389077
ALPHA,2020-04-21,438.73650327373633
ALPHA,2020-04-22,399.3474027747702
ALPHA,2020-04-23,444.16090764748685
ALPHA,2020-04-24,514.672163927785
ALPHA,2020-04-25,470.4473078902222
ALPHA,2020-04-26,475.9313196512507
ALPHA,2020-04-27,489.3709614370488
ALPHA,2020-04-28,472.8994454925411
TIMES Inc.,2019-04-30,231.2473302879265
TIMES Inc.,2019-05-01,293.2612034248687
TIMES Inc.,2019-05-02,264.24194182243787
TIMES Inc.,2019-05-03,283.58126880828615
TIMES Inc.,2019-05-04,289.5333236907504
TIMES Inc.,2019-05-05,291.1548661357997
TIMES Inc.,2019-05-06,300.55674997524324
TIMES Inc.,2019-05-07,238.65012460501012
TIMES Inc.,2019-05-08,301.9417538221441
TIMES Inc.,2019-05-09,274.2429020297225
TIMES Inc.,2019-05-10,294.9212322972118
TIMES Inc.,2019-05-11,302.2046360478693
TIMES Inc.,2019-05-12,305.1219114943668
TIMES Inc.,2019-05-13,315.754771468086
TIMES Inc.,2019-05-14,254.9846283473362
TIMES Inc.,2019-05-15,319.288534027865
TIMES Inc.,2019-05-16,292.4487117438578
TIMES Inc.,2019-05-17,313.80511019312564
TIMES Inc.,2019-05-18,321.5598851092835
TIMES Inc.,2019-05-19,324.71871050382765
TIMES Inc.,2019-05-20,335.3433854168548
TIMES Inc.,2019-05-21,274.299169505094
TIMES Inc.,2019-05-22,338.05121181632114
TIMES Inc.,2019-05-23,310.3744970665296
TIMES Inc.,2019-05-24,330.6067288026207
TIMES Inc.,2019-05-25,336.95304520949946
TIMES Inc.,2019-05-26,338.4274623408576
TIMES Inc.,2019-05-27,347.10550529034094
TIMES Inc.,2019-05-28,283.87145760718397
TIMES Inc.,2019-05-29,345.21459264554227
TIMES Inc.,2019-05-30,314.9388129479515
TIMES Inc.,2019-05-31,332.4151212391998
TIMES Inc.,2019-06-01,335.8858253413677
TIMES Inc.,2019-06-02,334.40538057426363
TIMES Inc.,2019-06-03,340.09234101478347
TIMES Inc.,2019-06-04,273.8758626162741
TIMES Inc.,2019-06-05,332.29113617463366
TIMES Inc.,2019-06-06,299.1881918217874
TIMES Inc.,2019-06-07,313.98351517323186
TIMES Inc.,2019-06-08,314.96339460711056
TIMES Inc.,2019-06-09,311.2239206520844
TIMES Inc.,2019-06-10,314.92212615421556
TIMES Inc.,2019-06-11,247.02172702744136
TIMES Inc.,2019-06-12,304.08785752154574
TIMES Inc.,2019-06-13,269.9952564462492
TIMES Inc.,2019-06-14,284.1793577182299
TIMES Inc.,2019-06-15,284.9392161480859
TIMES Inc.,2019-06-16,281.3771988402924
TIMES Inc.,2019-06-17,285.6499380140076
TIMES Inc.,2019-06-18,218.7140097810441
TIMES Inc.,2019-06-19,277.12073503351195
TIMES Inc.,2019-06-20,244.7245585248461
TIMES Inc.,2019-06-21,260.9344565952474
TIMES Inc.,2019-06-22,264.0172990269293
TIMES Inc.,2019-06-23,263.03808756837367
TIMES Inc.,2019-06-24,270.1115568543357
TIMES Inc.,2019-06-25,206.1485901301093
TIMES Inc.,2019-06-26,267.65183200676546
TIMES Inc.,2019-06-27,238.42493888616013
TIMES Inc.,2019-06-28,257.82490085432426
TIMES Inc.,2019-06-29,264.0663430047393
TIMES Inc.,2019-06-30,266.16271068542363
TIMES Inc.,2019-07-01,276.1788061892904
TIMES Inc.,2019-07-02,214.97811129836384
TIMES Inc.,2019-07-03,279.0192604596209
TIMES Inc.,2019-07-04,252.06608869980488
TIMES Inc.,2019-07-05,273.4406727637475
TIMES Inc.,2019-07-06,281.32825965844864
TIMES Inc.,2019-07-07,284.71897510997286
TIMES Inc.,2019-07-08,295.66076949511637
TIMES Inc.,2019-07-09,235.00702790812022
TIMES Inc.,2019-07-10,299.21320376273707
TIMES Inc.,2019-07-11,272.0468971028743
TIMES Inc.,2019-07-12,292.8407956929665
TIMES Inc.,2019-07-13,299.7973751594466
TIMES Inc.,2019-07-14,301.9302552401527
TIMES Inc.,2019-07-15,311.3166766191917
TIMES Inc.,2019-07-16,248.84453415244545
TIMES Inc.,2019-07-17,311.00833706129356
TIMES Inc.,2019-07-18,281.61853027771076
TIMES Inc.,2019-07-19,300.05360958165875
TIMES Inc.,2019-07-20,304.56394265529514
TIMES Inc.,2019-07-21,304.21220994614083
TIMES Inc.,2019-07-22,311.12494730076855
TIMES Inc.,2019-07-23,246.23864397509584
TIMES Inc.,2019-07-24,306.0947843864019
TIMES Inc.,2019-07-25,274.5482852082256
TIMES Inc.,2019-07-26,291.0187771856444
TIMES Inc.,2019-07-27,293.7936595243469
TIMES Inc.,2019-07-28,291.96785517215983
TIMES Inc.,2019-07-29,297.6947618116856
TIMES Inc.,2019-07-30,231.93186320989497
TIMES Inc.,2019-07-31,291.2353983157846
TIMES Inc.,2019-08-01,259.46854654101327
TIMES Inc.,2019-08-02,276.0525831234912
TIMES Inc.,2019-08-03,279.2699345497646
TIMES Inc.,2019-08-04,278.2040620432439
TIMES Inc.,2019-08-05,284.99066519298634
TIMES Inc.,2019-08-06,220.5636652548772
TIMES Inc.,2019-08-07,281.4503581133782
TIMES Inc.,2019-08-08,251.4801858082897
TIMES Inc.,2019-08-09,270.0365690286417
TIMES Inc.,2019-08-10,275.36071731655016
TIMES Inc.,2019-08-11,276.49233026420234
TIMES Inc.,2019-08-12,285.5216658454671
TIMES Inc.,2019-08-13,223.33641857211612
TIMES Inc.,2019-08-14,286.41778004179804
TIMES Inc.,2019-08-15,258.5501131041931
TIMES Inc.,2019-08-16,279.0736644630025
TIMES Inc.,2019-08-17,286.18921530150396
TIMES Inc.,2019-08-18,288.8995668153065
TIMES Inc.,2019-08-19,299.26232148836334
TIMES Inc.,2019-08-20,238.1373888698854
TIMES Inc.,2019-08-21,301.98357615209113
TIMES Inc.,2019-08-22,274.5686844144278
TIMES Inc.,2019-08-23,295.22252710543245
TIMES Inc.,2019-08-24,302.14176438946004
TIMES Inc.,2019-08-25,304.331446702323
TIMES Inc.,2019-08-26,313.85772729572363
TIMES Inc.,2019-08-27,251.59517400861006
TIMES Inc.,2019-08-28,314.02304455136704
TIMES Inc.,2019-08-29,284.93495259433246
TIMES Inc.,2019-08-30,303.69134998572747
TIMES Inc.,2019-08-31,308.5237296400507
TIMES Inc.,2019-09-01,308.47545530464123
TIMES Inc.,2019-09-02,315.65369255127194
TIMES Inc.,2019-09-03,250.9758872126682
TIMES Inc.,2019-09-04,310.9651726264845
TIMES Inc.,2019-09-05,279.4591508082585
TIMES Inc.,2019-09-06,295.8614910979753
TIMES Inc.,2019-09-07,298.445269058118
TIMES Inc.,2019-09-08,296.2929697063464
TIMES Inc.,2019-09-09,301.54764656840507
TIMES Inc.,2019-09-10,235.1586988151427
TIMES Inc.,2019-09-11,293.67666244470536
TIMES Inc.,2019-09-12,260.96147347982867
TIMES Inc.,2019-09-13,276.43365752812065
TIMES Inc.,2019-09-14,278.37737701000435
TIMES Inc.,2019-09-15,275.8802661846372
TIMES Inc.,2019-09-16,281.08454888686373
TIMES Inc.,2019-09-17,214.93290195242182
TIMES Inc.,2019-09-18,273.9634582644743
TIMES Inc.,2019-09-19,242.01840263865074
TIMES Inc.,2019-09-20,258.4956075137423
TIMES Inc.,2019-09-21,261.65222987818413
TIMES Inc.,2019-09-22,260.5451873982128
TIMES Inc.,2019-09-23,267.2829944537095
TIMES Inc.,2019-09-24,202.77240511991687
TIMES Inc.,2019-09-25,263.514239673154
TIMES Inc.,2019-09-26,233.31282947307875
TIMES Inc.,2019-09-27,251.5285081890457
TIMES Inc.,2019-09-28,256.3820515993392
TIMES Inc.,2019-09-29,256.89596495192524
TIMES Inc.,2019-09-30,265.14708026599374
TIMES Inc.,2019-10-01,202.0138933477478
TIMES Inc.,2019-10-02,263.9730013102557
TIMES Inc.,2019-10-03,234.80906148274602
TIMES Inc.,2019-10-04,253.86768787862627
TIMES Inc.,2019-10-05,259.3601780999012
TIMES Inc.,2019-10-06,260.3049629889363
TIMES Inc.,2019-10-07,268.78023758451997
TIMES Inc.,2019-10-08,205.67120228552784
TIMES Inc.,2019-10-09,267.46627714487806
TIMES Inc.,2019-10-10,237.96671527835463
TIMES Inc.,2019-10-11,256.5390395369421
TIMES Inc.,2019-10-12,261.41920600204304
TIMES Inc.,2019-10-13,261.653399784756
TIMES Inc.,2019-10-14,269.3499370397003
TIMES Inc.,2019-10-15,205.42571930704537
TIMES Inc.,2019-10-16,266.4016217683567
TIMES Inc.,2019-10-17,236.1112611010067
TIMES Inc.,2019-10-18,253.9525873520453
TIMES Inc.,2019-10-19,258.19122376799044
TIMES Inc.,2019-10-20,257.9004800601131
TIMES Inc.,2019-10-21,265.212532162127
TIMES Inc.,2019-10-22,201.0642324230024
TIMES Inc.,2019-10-23,261.99194790589274
TIMES Inc.,2019-10-24,231.83988641578233
TIMES Inc.,2019-10-25,250.01136612519576
TIMES Inc.,2019-10-26,254.77196139920116
TIMES Inc.,2019-10-27,255.18945594297864
TIMES Inc.,2019-10-28,263.3850988085498
TIMES Inc.,2019-10-29,200.27962641775883
TIMES Inc.,2019-10-30,262.38844422107087
TIMES Inc.,2019-10-31,233.53042037089554
TIMES Inc.,2019-11-01,253.07973698173436
TIMES Inc.,2019-11-02,259.26971845130794
TIMES Inc.,2019-11-03,261.13355230923173
TIMES Inc.,2019-11-04,270.7563802813437
TIMES Inc.,2019-11-05,209.02220311062445
TIMES Inc.,2019-11-06,272.40997182192984
TIMES Inc.,2019-11-07,244.70329604451425
TIMES Inc.,2019-11-08,265.2431928951035
TIMES Inc.,2019-11-09,272.2327740402925
TIMES Inc.,2019-11-10,274.678765287354
TIMES Inc.,2019-11-11,284.64431653388823
TIMES Inc.,2019-11-12,222.99652749386692
TIMES Inc.,2019-11-13,286.2030459544016
TIMES Inc.,2019-11-14,258.0421558310179
TIMES Inc.,2019-11-15,277.8557681035157
TIMES Inc.,2019-11-16,283.8542050253162
TIMES Inc.,2019-11-17,285.0576681308467
TIMES Inc.,2019-11-18,293.54884754901684
TIMES Inc.,2019-11-19,230.2201012697983
TIMES Inc.,2019-11-20,291.56956783327513
TIMES Inc.,2019-11-21,261.4106397837572
TIMES Inc.,2019-11-22,279.124224180007
TIMES Inc.,2019-11-23,282.96269661066026
TIMES Inc.,2019-11-24,281.99045777157124
TIMES Inc.,2019-11-25,288.3355707006927
TIMES Inc.,2019-11-26,222.93592947806368
TIMES Inc.,2019-11-27,282.33434608299206
TIMES Inc.,2019-11-28,250.38700648222223
TIMES Inc.,2019-11-29,266.5147459261482
TIMES Inc.,2019-11-30,269.0060729779916
TIMES Inc.,2019-12-01,266.95687324642284
TIMES Inc.,2019-12-02,272.5212911520199
TIMES Inc.,2019-12-03,206.65725860097152
TIMES Inc.,2019-12-04,265.9210727136333
TIMES Inc.,2019-12-05,234.17548616948554
TIMES Inc.,2019-12-06,250.84076934042213
TIMES Inc.,2019-12-07,254.1976794293961
TIMES Inc.,2019-12-08,253.3272696246987
TIMES Inc.,2019-12-09,260.36203492774257
TIMES Inc.,2019-12-10,196.23185818067185
TIMES Inc.,2019-12-11,257.4591495411132
TIMES Inc.,2019-12-12,227.86763070761094
TIMES Inc.,2019-12-13,246.83420774782402
TIMES Inc.,2019-12-14,252.5928497174446
TIMES Inc.,2019-12-15,254.17538575859
TIMES Inc.,2019-12-16,263.66369521654394
TIMES Inc.,2019-12-17,201.93673087758597
TIMES Inc.,2019-12-18,265.4667444241803
TIMES Inc.,2019-12-19,238.0291410750285
TIMES Inc.,2019-12-20,258.9553833279111
TIMES Inc.,2019-12-21,266.43783800562784
TIMES Inc.,2019-12-22,269.47145780290566
TIMES Inc.,2019-12-23,280.1067523508814
TIMES Inc.,2019-12-24,219.19747183046667
TIMES Inc.,2019-12-25,283.19735796126355
TIMES Inc.,2019-12-26,255.87037821726676
TIMES Inc.,2019-12-27,276.5438554457466
TIMES Inc.,2019-12-28,283.413382895081
TIMES Inc.,2019-12-29,285.4844152723133
TIMES Inc.,2019-12-30,294.8249938820128
TIMES Inc.,2019-12-31,232.31303541993154
TIMES Inc.,2020-01-01,294.4325491300425
TIMES Inc.,2020-01-02,264.98321112437117
TIMES Inc.,2020-01-03,283.33272374229915
TIMES Inc.,2020-01-04,287.72086800733575
TIMES Inc.,2020-01-05,287.20015976128155
TIMES Inc.,2020-01-06,293.8875889159959
TIMES Inc.,2020-01-07,228.71089368827163
TIMES Inc.,2020-01-08,288.2037571959105
TIMES Inc.,2020-01-09,256.2143777317484
TIMES Inc.,2020-01-10,272.15686242201997
TIMES Inc.,2020-01-11,274.31437297362965
TIMES Inc.,2020-01-12,271.7789530903483
TIMES Inc.,2020-01-13,276.70253391452843
TIMES Inc.,2020-01-14,210.04258384820923
TIMES Inc.,2020-01-15,268.3568018709201
TIMES Inc.,2020-01-16,235.51131443873737
TIMES Inc.,2020-01-17,250.9318313073331
TIMES Inc.,2020-01-18,252.90669141671904
